bsdl pin,rtl pin,socket pin,channel available
WAKEB,wakeb,IP_PCH::WAKEB,1
SLP_SUSB,slp_susb,IP_PCH::SLP_SUSB,1
SLP_LANB,slp_lanb,IP_PCH::SLP_LANB,1
GPD_12,gpd_12,IP_PCH::GPD_12,1
GPD_11_LANPHYPC,gpd_11_lanphypc,IP_PCH::GPD_11_LANPHYPC,1
GPD_10_SLP_S5B,gpd_10_slp_s5b,IP_PCH::GPD_10_SLP_S5B,1
GPD_9_SLP_WLANB,gpd_9_slp_wlanb,IP_PCH::GPD_9_SLP_WLANB,1
GPD_8_SUSCLK,gpd_8_susclk,IP_PCH::GPD_8_SUSCLK,1
GPD_7,gpd_7,IP_PCH::GPD_7,1
GPD_6_SLP_AB,gpd_6_slp_ab,IP_PCH::GPD_6_SLP_AB,1
GPD_5_SLP_S4B,gpd_5_slp_s4b,IP_PCH::GPD_5_SLP_S4B,1
GPD_4_SLP_S3B,gpd_4_slp_s3b,IP_PCH::GPD_4_SLP_S3B,1
GPD_3_PWRBTNB,gpd_3_pwrbtnb,IP_PCH::GPD_3_PWRBTNB,1
GPD_2_LAN_WAKEB,gpd_2_lan_wakeb,IP_PCH::GPD_2_LAN_WAKEB,1
GPD_1_ACPRESENT,gpd_1_acpresent,IP_PCH::GPD_1_ACPRESENT,1
GPD_0_BATLOWB,gpd_0_batlowb,IP_PCH::GPD_0_BATLOWB,1
RTESTB,rtestb,IP_PCH::RTESTB,1
RSMRSTB,rsmrstb,IP_PCH::RSMRSTB,1
INTRUDERB,intruderb,IP_PCH::INTRUDERB,1
RESET_SYNCB,reset_syncb,IP_PCH::RESET_SYNCB,1
GPP_J_16_GLB_RST_WARN_B,gpp_j_16_glb_rst_warn_b,IP_PCH::GPP_J_16_GLB_RST_WARN_B,1
GPP_J_15_AUX_PWRGD,gpp_j_15_aux_pwrgd,IP_PCH::GPP_J_15_AUX_PWRGD,1
GPP_J_14_HDACPU_BCLK,gpp_j_14_hdacpu_bclk,IP_PCH::GPP_J_14_HDACPU_BCLK,1
GPP_J_13_HDACPU_SDO,gpp_j_13_hdacpu_sdo,IP_PCH::GPP_J_13_HDACPU_SDO,1
GPP_J_12_HDACPU_SDI,gpp_j_12_hdacpu_sdi,IP_PCH::GPP_J_12_HDACPU_SDI,1
GPP_J_11_DAM,gpp_j_11_dam,IP_PCH::GPP_J_11_DAM,1
GPP_J_10_BPKI3C_SCL,gpp_j_10_bpki3c_scl,IP_PCH::GPP_J_10_BPKI3C_SCL,1
GPP_J_9_BPKI3C_SDA,gpp_j_9_bpki3c_sda,IP_PCH::GPP_J_9_BPKI3C_SDA,1
GPP_J_8_RTCCLKOUT,gpp_j_8_rtcclkout,IP_PCH::GPP_J_8_RTCCLKOUT,1
GPP_J_7_BOOTHALT_B,gpp_j_7_boothalt_b,IP_PCH::GPP_J_7_BOOTHALT_B,1
GPP_J_6_CNV_MFUART2_TXD,gpp_j_6_cnv_mfuart2_txd,IP_PCH::GPP_J_6_CNV_MFUART2_TXD,1
GPP_J_5_CNV_MFUART2_RXD,gpp_j_5_cnv_mfuart2_rxd,IP_PCH::GPP_J_5_CNV_MFUART2_RXD,1
GPP_J_4_CNV_RGI_RSP_UART0_CTSB,gpp_j_4_cnv_rgi_rsp_uart0_ctsb,IP_PCH::GPP_J_4_CNV_RGI_RSP_UART0_CTSB,1
GPP_J_3_CNV_RGI_DT_UART0_TXD,gpp_j_3_cnv_rgi_dt_uart0_txd,IP_PCH::GPP_J_3_CNV_RGI_DT_UART0_TXD,1
GPP_J_2_CNV_BRI_RSP_UART0_RXD,gpp_j_2_cnv_bri_rsp_uart0_rxd,IP_PCH::GPP_J_2_CNV_BRI_RSP_UART0_RXD,1
GPP_J_1_CNV_BRI_DT_UART0_RTSB,gpp_j_1_cnv_bri_dt_uart0_rtsb,IP_PCH::GPP_J_1_CNV_BRI_DT_UART0_RTSB,1
GPP_J_0_CNV_PA_BLANKING,gpp_j_0_cnv_pa_blanking,IP_PCH::GPP_J_0_CNV_PA_BLANKING,1
GPP_R_12_ISH_SPI_MOSI_GSPI2_MOSI,gpp_r_12_ish_spi_mosi_gspi2_mosi,IP_PCH::GPP_R_12_ISH_SPI_MOSI_GSPI2_MOSI,1
GPP_R_11_ISH_SPI_MISO_GSPI2_MISO,gpp_r_11_ish_spi_miso_gspi2_miso,IP_PCH::GPP_R_11_ISH_SPI_MISO_GSPI2_MISO,1
GPP_R_10_ISH_SPI_CLK_GSPI2_CLK,gpp_r_10_ish_spi_clk_gspi2_clk,IP_PCH::GPP_R_10_ISH_SPI_CLK_GSPI2_CLK,1
GPP_R_9_ISH_SPI_CSB_GSPI2_CS0B,gpp_r_9_ish_spi_csb_gspi2_cs0b,IP_PCH::GPP_R_9_ISH_SPI_CSB_GSPI2_CS0B,1
GPP_R_8_I2S1_SCLK,gpp_r_8_i2s1_sclk,IP_PCH::GPP_R_8_I2S1_SCLK,1
GPP_R_7_I2S1_SFRM,gpp_r_7_i2s1_sfrm,IP_PCH::GPP_R_7_I2S1_SFRM,1
GPP_R_6_I2S1_TXD,gpp_r_6_i2s1_txd,IP_PCH::GPP_R_6_I2S1_TXD,1
GPP_R_5_HDA_SDI_1_I2S1_RXD,gpp_r_5_hda_sdi_1_i2s1_rxd,IP_PCH::GPP_R_5_HDA_SDI_1_I2S1_RXD,1
GPP_R_4_HDA_RSTB,gpp_r_4_hda_rstb,IP_PCH::GPP_R_4_HDA_RSTB,1
GPP_R_3_HDA_SDI_0_I2S0_RXD_HDACPU_SDI,gpp_r_3_hda_sdi_0_i2s0_rxd_hdacpu_sdi,IP_PCH::GPP_R_3_HDA_SDI_0_I2S0_RXD_HDACPU_SDI,1
GPP_R_2_HDA_SDO_I2S0_TXD_HDACPU_SDO,gpp_r_2_hda_sdo_i2s0_txd_hdacpu_sdo,IP_PCH::GPP_R_2_HDA_SDO_I2S0_TXD_HDACPU_SDO,1
GPP_R_1_HDA_SYNC_I2S0_SFRM_DMIC_CLK_B_1,gpp_r_1_hda_sync_i2s0_sfrm_dmic_clk_b_1,IP_PCH::GPP_R_1_HDA_SYNC_I2S0_SFRM_DMIC_CLK_B_1,1
GPP_R_0_HDA_BCLK_I2S0_SCLK_HDACPU_BCLK_DMIC_CLK_A_1,gpp_r_0_hda_bclk_i2s0_sclk_hdacpu_bclk_dmic_clk_a_1,IP_PCH::GPP_R_0_HDA_BCLK_I2S0_SCLK_HDACPU_BCLK_DMIC_CLK_A_1,1
GPP_D_23_UART3_CTSB_THC1_SPI2_INTB,gpp_d_23_uart3_ctsb_thc1_spi2_intb,IP_PCH::GPP_D_23_UART3_CTSB_THC1_SPI2_INTB,1
GPP_D_22_UART3_RTSB_THC1_SPI2_RSTB,gpp_d_22_uart3_rtsb_thc1_spi2_rstb,IP_PCH::GPP_D_22_UART3_RTSB_THC1_SPI2_RSTB,1
GPP_D_21_UART3_TXD_THC1_SPI2_IO_3,gpp_d_21_uart3_txd_thc1_spi2_io_3,IP_PCH::GPP_D_21_UART3_TXD_THC1_SPI2_IO_3,1
GPP_D_20_UART3_RXD_THC1_SPI2_IO_2,gpp_d_20_uart3_rxd_thc1_spi2_io_2,IP_PCH::GPP_D_20_UART3_RXD_THC1_SPI2_IO_2,1
GPP_D_19_GSPI3_MOSI_THC1_SPI2_IO_1,gpp_d_19_gspi3_mosi_thc1_spi2_io_1,IP_PCH::GPP_D_19_GSPI3_MOSI_THC1_SPI2_IO_1,1
GPP_D_18_GSPI3_MISO_THC1_SPI2_IO_0,gpp_d_18_gspi3_miso_thc1_spi2_io_0,IP_PCH::GPP_D_18_GSPI3_MISO_THC1_SPI2_IO_0,1
GPP_D_17_GSPI3_CLK_THC1_SPI2_CLK,gpp_d_17_gspi3_clk_thc1_spi2_clk,IP_PCH::GPP_D_17_GSPI3_CLK_THC1_SPI2_CLK,1
GPP_D_16_GSPI3_CS0B_THC1_SPI2_CSB,gpp_d_16_gspi3_cs0b_thc1_spi2_csb,IP_PCH::GPP_D_16_GSPI3_CS0B_THC1_SPI2_CSB,1
GPP_D_15_SML1DATA,gpp_d_15_sml1data,IP_PCH::GPP_D_15_SML1DATA,1
GPP_D_14_SRCCLKREQB_7,gpp_d_14_srcclkreqb_7,IP_PCH::GPP_D_14_SRCCLKREQB_7,1
GPP_D_13_SRCCLKREQB_6,gpp_d_13_srcclkreqb_6,IP_PCH::GPP_D_13_SRCCLKREQB_6,1
GPP_D_12_SRCCLKREQB_5,gpp_d_12_srcclkreqb_5,IP_PCH::GPP_D_12_SRCCLKREQB_5,1
GPP_D_11_SRCCLKREQB_4,gpp_d_11_srcclkreqb_4,IP_PCH::GPP_D_11_SRCCLKREQB_4,1
GPP_D_10_SML0DATA,gpp_d_10_sml0data,IP_PCH::GPP_D_10_SML0DATA,1
GPP_D_9_SML0CLK,gpp_d_9_sml0clk,IP_PCH::GPP_D_9_SML0CLK,1
GPP_D_8_I2S2_SCLK_DMIC_CLK_A_0,gpp_d_8_i2s2_sclk_dmic_clk_a_0,IP_PCH::GPP_D_8_I2S2_SCLK_DMIC_CLK_A_0,1
GPP_D_7_I2S2_RXD_DMIC_DATA_1,gpp_d_7_i2s2_rxd_dmic_data_1,IP_PCH::GPP_D_7_I2S2_RXD_DMIC_DATA_1,1
GPP_D_6_I2S2_TXD_MODEM_CLKREQ_DMIC_CLK_B_0,gpp_d_6_i2s2_txd_modem_clkreq_dmic_clk_b_0,IP_PCH::GPP_D_6_I2S2_TXD_MODEM_CLKREQ_DMIC_CLK_B_0,1
GPP_D_5_I2S2_SFRM_CNV_RF_RESET_B_DMIC_DATA_0,gpp_d_5_i2s2_sfrm_cnv_rf_reset_b_dmic_data_0,IP_PCH::GPP_D_5_I2S2_SFRM_CNV_RF_RESET_B_DMIC_DATA_0,1
GPP_D_4_SML1CLK,gpp_d_4_sml1clk,IP_PCH::GPP_D_4_SML1CLK,1
GPP_D_3_SRCCLKREQB_3,gpp_d_3_srcclkreqb_3,IP_PCH::GPP_D_3_SRCCLKREQB_3,1
GPP_D_2_SRCCLKREQB_2,gpp_d_2_srcclkreqb_2,IP_PCH::GPP_D_2_SRCCLKREQB_2,1
GPP_D_1_SRCCLKREQB_1,gpp_d_1_srcclkreqb_1,IP_PCH::GPP_D_1_SRCCLKREQB_1,1
GPP_D_0_SRCCLKREQB_0,gpp_d_0_srcclkreqb_0,IP_PCH::GPP_D_0_SRCCLKREQB_0,1
CNV_WR_CLKN,cnv_wr_clkn,IP_PCH::CNV_WR_CLKN,1
CNV_WR_CLKP,cnv_wr_clkp,IP_PCH::CNV_WR_CLKP,1
CNV_WR_D1N,cnv_wr_d1n,IP_PCH::CNV_WR_D1N,1
CNV_WR_D1P,cnv_wr_d1p,IP_PCH::CNV_WR_D1P,1
CNV_WR_D0N,cnv_wr_d0n,IP_PCH::CNV_WR_D0N,1
CNV_WR_D0P,cnv_wr_d0p,IP_PCH::CNV_WR_D0P,1
CNV_WT_CLKP,cnv_wt_clkp,IP_PCH::CNV_WT_CLKP,1
CNV_WT_CLKN,cnv_wt_clkn,IP_PCH::CNV_WT_CLKN,1
CNV_WT_D1P,cnv_wt_d1p,IP_PCH::CNV_WT_D1P,1
CNV_WT_D1N,cnv_wt_d1n,IP_PCH::CNV_WT_D1N,1
CNV_WT_D0P,cnv_wt_d0p,IP_PCH::CNV_WT_D0P,1
CNV_WT_D0N,cnv_wt_d0n,IP_PCH::CNV_WT_D0N,1
PCIE_16_SATA_3_RXN,pcie_16_sata_3_rxn,IP_PCH::PCIE_16_SATA_3_RXN,0
PCIE_16_SATA_3_RXP,pcie_16_sata_3_rxp,IP_PCH::PCIE_16_SATA_3_RXP,0
PCIE_16_SATA_3_TXP,pcie_16_sata_3_txp,IP_PCH::PCIE_16_SATA_3_TXP,0
PCIE_15_SATA_2_LAN_0C_RXN,pcie_15_sata_2_lan_0c_rxn,IP_PCH::PCIE_15_SATA_2_LAN_0C_RXN,0
PCIE_15_SATA_2_LAN_0C_RXP,pcie_15_sata_2_lan_0c_rxp,IP_PCH::PCIE_15_SATA_2_LAN_0C_RXP,0
PCIE_15_SATA_2_LAN_0C_TXP,pcie_15_sata_2_lan_0c_txp,IP_PCH::PCIE_15_SATA_2_LAN_0C_TXP,0
PCIE_14_SATA_1_RXN,pcie_14_sata_1_rxn,IP_PCH::PCIE_14_SATA_1_RXN,0
PCIE_14_SATA_1_RXP,pcie_14_sata_1_rxp,IP_PCH::PCIE_14_SATA_1_RXP,0
PCIE_14_SATA_1_TXP,pcie_14_sata_1_txp,IP_PCH::PCIE_14_SATA_1_TXP,0
PCIE_13_SATA_0_RXN,pcie_13_sata_0_rxn,IP_PCH::PCIE_13_SATA_0_RXN,0
PCIE_13_SATA_0_RXP,pcie_13_sata_0_rxp,IP_PCH::PCIE_13_SATA_0_RXP,0
PCIE_13_SATA_0_TXP,pcie_13_sata_0_txp,IP_PCH::PCIE_13_SATA_0_TXP,0
PCIE_20_SATA_7_RXN,pcie_20_sata_7_rxn,IP_PCH::PCIE_20_SATA_7_RXN,0
PCIE_20_SATA_7_RXP,pcie_20_sata_7_rxp,IP_PCH::PCIE_20_SATA_7_RXP,0
PCIE_20_SATA_7_TXP,pcie_20_sata_7_txp,IP_PCH::PCIE_20_SATA_7_TXP,0
PCIE_19_SATA_6_RXN,pcie_19_sata_6_rxn,IP_PCH::PCIE_19_SATA_6_RXN,0
PCIE_19_SATA_6_RXP,pcie_19_sata_6_rxp,IP_PCH::PCIE_19_SATA_6_RXP,0
PCIE_19_SATA_6_TXP,pcie_19_sata_6_txp,IP_PCH::PCIE_19_SATA_6_TXP,0
PCIE_18_SATA_5_RXN,pcie_18_sata_5_rxn,IP_PCH::PCIE_18_SATA_5_RXN,0
PCIE_18_SATA_5_RXP,pcie_18_sata_5_rxp,IP_PCH::PCIE_18_SATA_5_RXP,0
PCIE_18_SATA_5_TXP,pcie_18_sata_5_txp,IP_PCH::PCIE_18_SATA_5_TXP,0
PCIE_17_SATA_4_RXN,pcie_17_sata_4_rxn,IP_PCH::PCIE_17_SATA_4_RXN,0
PCIE_17_SATA_4_RXP,pcie_17_sata_4_rxp,IP_PCH::PCIE_17_SATA_4_RXP,0
PCIE_17_SATA_4_TXP,pcie_17_sata_4_txp,IP_PCH::PCIE_17_SATA_4_TXP,0
PCIE_12_RXN,pcie_12_rxn,IP_PCH::PCIE_12_RXN,0
PCIE_12_RXP,pcie_12_rxp,IP_PCH::PCIE_12_RXP,0
PCIE_12_TXP,pcie_12_txp,IP_PCH::PCIE_12_TXP,0
PCIE_11_RXN,pcie_11_rxn,IP_PCH::PCIE_11_RXN,0
PCIE_11_RXP,pcie_11_rxp,IP_PCH::PCIE_11_RXP,0
PCIE_11_TXP,pcie_11_txp,IP_PCH::PCIE_11_TXP,0
PCIE_10_TSN_1_RXN,pcie_10_tsn_1_rxn,IP_PCH::PCIE_10_TSN_1_RXN,0
PCIE_10_TSN_1_RXP,pcie_10_tsn_1_rxp,IP_PCH::PCIE_10_TSN_1_RXP,0
PCIE_10_TSN_1_TXP,pcie_10_tsn_1_txp,IP_PCH::PCIE_10_TSN_1_TXP,0
PCIE_9_TSN_0_RXN,pcie_9_tsn_0_rxn,IP_PCH::PCIE_9_TSN_0_RXN,0
PCIE_9_TSN_0_RXP,pcie_9_tsn_0_rxp,IP_PCH::PCIE_9_TSN_0_RXP,0
PCIE_9_TSN_0_TXP,pcie_9_tsn_0_txp,IP_PCH::PCIE_9_TSN_0_TXP,0
PCIE_8_RXN,pcie_8_rxn,IP_PCH::PCIE_8_RXN,0
PCIE_8_RXP,pcie_8_rxp,IP_PCH::PCIE_8_RXP,0
PCIE_8_TXP,pcie_8_txp,IP_PCH::PCIE_8_TXP,0
PCIE_7_LAN_0B_RXN,pcie_7_lan_0b_rxn,IP_PCH::PCIE_7_LAN_0B_RXN,0
PCIE_7_LAN_0B_RXP,pcie_7_lan_0b_rxp,IP_PCH::PCIE_7_LAN_0B_RXP,0
PCIE_7_LAN_0B_TXP,pcie_7_lan_0b_txp,IP_PCH::PCIE_7_LAN_0B_TXP,0
PCIE_6_RXN,pcie_6_rxn,IP_PCH::PCIE_6_RXN,0
PCIE_6_RXP,pcie_6_rxp,IP_PCH::PCIE_6_RXP,0
PCIE_6_TXP,pcie_6_txp,IP_PCH::PCIE_6_TXP,0
PCIE_5_RXN,pcie_5_rxn,IP_PCH::PCIE_5_RXN,0
PCIE_5_RXP,pcie_5_rxp,IP_PCH::PCIE_5_RXP,0
PCIE_5_TXP,pcie_5_txp,IP_PCH::PCIE_5_TXP,0
PCIE_4_RXN,pcie_4_rxn,IP_PCH::PCIE_4_RXN,0
PCIE_4_RXP,pcie_4_rxp,IP_PCH::PCIE_4_RXP,0
PCIE_4_TXP,pcie_4_txp,IP_PCH::PCIE_4_TXP,0
PCIE_3_LAN_0A_RXN,pcie_3_lan_0a_rxn,IP_PCH::PCIE_3_LAN_0A_RXN,0
PCIE_3_LAN_0A_RXP,pcie_3_lan_0a_rxp,IP_PCH::PCIE_3_LAN_0A_RXP,0
PCIE_3_LAN_0A_TXP,pcie_3_lan_0a_txp,IP_PCH::PCIE_3_LAN_0A_TXP,0
PCIE_2_RXN,pcie_2_rxn,IP_PCH::PCIE_2_RXN,0
PCIE_2_RXP,pcie_2_rxp,IP_PCH::PCIE_2_RXP,0
PCIE_2_TXP,pcie_2_txp,IP_PCH::PCIE_2_TXP,0
PCIE_1_RXN,pcie_1_rxn,IP_PCH::PCIE_1_RXN,0
PCIE_1_RXP,pcie_1_rxp,IP_PCH::PCIE_1_RXP,0
PCIE_1_TXP,pcie_1_txp,IP_PCH::PCIE_1_TXP,0
GPP_F_23_IEH_NONFATAL_ERR1B,gpp_f_23_ieh_nonfatal_err1b,IP_PCH::GPP_F_23_IEH_NONFATAL_ERR1B,1
GPP_F_22_IEH_CORR_ERR0B,gpp_f_22_ieh_corr_err0b,IP_PCH::GPP_F_22_IEH_CORR_ERR0B,1
GPP_F_21_GMII_MDIO_0,gpp_f_21_gmii_mdio_0,IP_PCH::GPP_F_21_GMII_MDIO_0,1
GPP_F_20_GMII_MDC_0,gpp_f_20_gmii_mdc_0,IP_PCH::GPP_F_20_GMII_MDC_0,1
GPP_F_19_DNX_FORCE_RELOAD,gpp_f_19_dnx_force_reload,IP_PCH::GPP_F_19_DNX_FORCE_RELOAD,1
GPP_F_18,gpp_f_18,IP_PCH::GPP_F_18,1
GPP_F_17,gpp_f_17,IP_PCH::GPP_F_17,1
GPP_F_16,gpp_f_16,IP_PCH::GPP_F_16,1
GPP_F_15,gpp_f_15,IP_PCH::GPP_F_15,1
GPP_F_14,gpp_f_14,IP_PCH::GPP_F_14,1
GPP_F_13_SATA_SDATAOUT0_DIR_ESPI_SCI,gpp_f_13_sata_sdataout0_dir_espi_sci,IP_PCH::GPP_F_13_SATA_SDATAOUT0_DIR_ESPI_SCI,1
GPP_F_12_SATA_SDATAOUT1_DIR_ESPI_WAKE,gpp_f_12_sata_sdataout1_dir_espi_wake,IP_PCH::GPP_F_12_SATA_SDATAOUT1_DIR_ESPI_WAKE,1
GPP_F_11_SATA_SLOAD_DIR_ESPI_IRQ,gpp_f_11_sata_sload_dir_espi_irq,IP_PCH::GPP_F_11_SATA_SLOAD_DIR_ESPI_IRQ,1
GPP_F_10_SATA_SCLOCK_DIR_ESPI_NMI,gpp_f_10_sata_sclock_dir_espi_nmi,IP_PCH::GPP_F_10_SATA_SCLOCK_DIR_ESPI_NMI,1
GPP_F_9_SATA_DEVSLP_7_DIR_ESPI_SMI,gpp_f_9_sata_devslp_7_dir_espi_smi,IP_PCH::GPP_F_9_SATA_DEVSLP_7_DIR_ESPI_SMI,1
GPP_F_8_SATA_DEVSLP_6,gpp_f_8_sata_devslp_6,IP_PCH::GPP_F_8_SATA_DEVSLP_6,1
GPP_F_7_SATA_DEVSLP_5,gpp_f_7_sata_devslp_5,IP_PCH::GPP_F_7_SATA_DEVSLP_5,1
GPP_F_6_SATA_DEVSLP_4,gpp_f_6_sata_devslp_4,IP_PCH::GPP_F_6_SATA_DEVSLP_4,1
GPP_F_5_SATA_DEVSLP_3,gpp_f_5_sata_devslp_3,IP_PCH::GPP_F_5_SATA_DEVSLP_3,1
GPP_F_4_SATAXPCIE_7_SATAGP_7,gpp_f_4_sataxpcie_7_satagp_7,IP_PCH::GPP_F_4_SATAXPCIE_7_SATAGP_7,1
GPP_F_3_SATAXPCIE_6_SATAGP_6,gpp_f_3_sataxpcie_6_satagp_6,IP_PCH::GPP_F_3_SATAXPCIE_6_SATAGP_6,1
GPP_F_2_SATAXPCIE_5_SATAGP_5,gpp_f_2_sataxpcie_5_satagp_5,IP_PCH::GPP_F_2_SATAXPCIE_5_SATAGP_5,1
GPP_F_1_SATAXPCIE_4_SATAGP_4,gpp_f_1_sataxpcie_4_satagp_4,IP_PCH::GPP_F_1_SATAXPCIE_4_SATAGP_4,1
GPP_F_0_SATAXPCIE_3_SATAGP_3,gpp_f_0_sataxpcie_3_satagp_3,IP_PCH::GPP_F_0_SATAXPCIE_3_SATAGP_3,1
MLK_RSTB,mlk_rstb,IP_PCH::MLK_RSTB,1
SYS_RESETB,sys_resetb,IP_PCH::SYS_RESETB,1
MISC_SPARE,misc_spare,IP_PCH::MISC_SPARE,1
GPP_K_10_FUSE_SORT_BUMP_2,gpp_k_10_fuse_sort_bump_2,IP_PCH::GPP_K_10_FUSE_SORT_BUMP_2,1
GPP_K_9_CORE_VID_1,gpp_k_9_core_vid_1,IP_PCH::GPP_K_9_CORE_VID_1,1
GPP_K_8_CORE_VID_0,gpp_k_8_core_vid_0,IP_PCH::GPP_K_8_CORE_VID_0,1
GPP_K_7_FUSE_SORT_BUMP_1,gpp_k_7_fuse_sort_bump_1,IP_PCH::GPP_K_7_FUSE_SORT_BUMP_1,1
GPP_K_6_FUSE_SORT_BUMP_0,gpp_k_6_fuse_sort_bump_0,IP_PCH::GPP_K_6_FUSE_SORT_BUMP_0,1
GPP_K_5_ADR_COMPLETE,gpp_k_5_adr_complete,IP_PCH::GPP_K_5_ADR_COMPLETE,1
GPP_K_4_GSXCLK,gpp_k_4_gsxclk,IP_PCH::GPP_K_4_GSXCLK,1
GPP_K_3_GSXSRESETB,gpp_k_3_gsxsresetb,IP_PCH::GPP_K_3_GSXSRESETB,1
GPP_K_2_GSXDIN,gpp_k_2_gsxdin,IP_PCH::GPP_K_2_GSXDIN,1
GPP_K_1_GSXSLOAD,gpp_k_1_gsxsload,IP_PCH::GPP_K_1_GSXSLOAD,1
GPP_K_0_GSXDOUT,gpp_k_0_gsxdout,IP_PCH::GPP_K_0_GSXDOUT,1
GPP_E_21_ISH_UART0_CTSB_SML0BALERTB,gpp_e_21_ish_uart0_ctsb_sml0balertb,IP_PCH::GPP_E_21_ISH_UART0_CTSB_SML0BALERTB,1
GPP_E_20_THC0_SPI1_INTB,gpp_e_20_thc0_spi1_intb,IP_PCH::GPP_E_20_THC0_SPI1_INTB,1
GPP_E_19_THC0_SPI1_RSTB,gpp_e_19_thc0_spi1_rstb,IP_PCH::GPP_E_19_THC0_SPI1_RSTB,1
GPP_E_18_THC0_SPI1_IO_3,gpp_e_18_thc0_spi1_io_3,IP_PCH::GPP_E_18_THC0_SPI1_IO_3,1
GPP_E_17_THC0_SPI1_IO_2,gpp_e_17_thc0_spi1_io_2,IP_PCH::GPP_E_17_THC0_SPI1_IO_2,1
GPP_E_16_THC0_SPI1_IO_0,gpp_e_16_thc0_spi1_io_0,IP_PCH::GPP_E_16_THC0_SPI1_IO_0,1
GPP_E_15_THC0_SPI1_IO_1,gpp_e_15_thc0_spi1_io_1,IP_PCH::GPP_E_15_THC0_SPI1_IO_1,1
GPP_E_14_THC0_SPI1_CLK,gpp_e_14_thc0_spi1_clk,IP_PCH::GPP_E_14_THC0_SPI1_CLK,1
GPP_E_13_THC0_SPI1_CSB,gpp_e_13_thc0_spi1_csb,IP_PCH::GPP_E_13_THC0_SPI1_CSB,1
GPP_E_12_ISH_GP_10,gpp_e_12_ish_gp_10,IP_PCH::GPP_E_12_ISH_GP_10,1
GPP_E_11_ISH_GP_9,gpp_e_11_ish_gp_9,IP_PCH::GPP_E_11_ISH_GP_9,1
GPP_E_10_SRCCLKREQB_13,gpp_e_10_srcclkreqb_13,IP_PCH::GPP_E_10_SRCCLKREQB_13,1
GPP_E_9_SRCCLKREQB_12,gpp_e_9_srcclkreqb_12,IP_PCH::GPP_E_9_SRCCLKREQB_12,1
